team_number,name,nickname,location,website
1024,Precise Path Robotics / Rolls-Royce Corporation / Indiana Department of Education &amp; Bernard K. McKenzie Center for Innovation and Technology,Kil-A-Bytes,"Indianapolis, IN, USA",http://www.mckenzierobotics.org
1025,IMPI ROBOTICS/Schaeffler Group/Ferndale Education Foundation/IBM/jay-cee sales &amp; rivet inc./Ferndale Schools/Garden Fresh Salsa &amp; Ferndale High School,IMPIS,"Ferndale, MI, USA",http://www.impirobotics.com
1026,IMT York &amp; Bank of York &amp; Floyd D. Johnson Technology Center &amp; York Comprehensive High School,Cougars,"York, SC, USA",http://www.york.k12.sc.us
1027,Essential Power, LLC / Comcast &amp; West Springfield High School,Project Jabberwocky,"West Springfield, MA, USA",http://www.team1027.com
1028,Pratt &amp; Whitney Automation &amp; Madison County Schools,UBERGEEKS,"Huntsville, AL, USA",http://www.firstubergeeks.com
1029,Motorola &amp; Belen Jesuit,Wolverine Robotics,"Miami, FL, USA",None
1030,NASA/American Electric Power &amp; Eastland Career Center,Combined Minds,"Groveport, OH, USA",http://first.efcts.us
1031,Google &amp; John O&#39;Connell High School,The Boilermakers,"San Francisco, CA, USA",http://www.team1031.org
1033,Solidworks/Gates Corporation/Capital Sales and Equipment/The McKenna Family/FNBC &amp; Benedictine College Preparatory,Team CLUTCH,"Richmond, VA, USA",http://www.teamclutch1033.com
1034,South Shore High School,Eclipse,"Chicago, IL, USA",None
1035,Comau Pico &amp; Washington High School,T12,"Chicago, IL, USA",http://www.comaupico.com
1036,McDonald&#39;s Restaurants of Canada Limited/Toronto District School Board/Apollo Sheet Metal Contractors Limited/Vaughan Electrcial Supply Co. Ltd &amp; Central Technical School,Central Tech Robotics,"Toronto, ON, Canada",http://www.centraltech.ca
1037,Ford Motor Company/Warren Industries, Inc./Metalmite Corporation &amp; Stoney Creek High School &amp; Rochester High School,The SCREAM Team,"Rochester Hills, MI, USA",http://teamfordfirst.org/Team1037
1038,Noxsel-Waddell Foundation / Rockwell Automation / Alexander &amp; Associates / Toyota Motor Engineering &amp; Manufacturing North America, Inc / Northrop Grumman Xetron / P &amp; G / K&amp;amp;K Precision, Inc / Wirtz Trucking &amp; Rigging / Polar Air / Terraqua Club / HB2Web, LLC / Forest Fair Village / Lakota Robotics, LLC / Lakota Robotics Boosters &amp; Lakota East High School,Thunderhawks,"Liberty Township, OH, USA",http://www.lakotarobotics.com
1039,kevinro.com/Seattle Robotics Society &amp; Chief Sealth High School,Chief Sealth Robotics,"Seattle, WA, USA",None
1040,Paideia School,Pythons,"Atlanta, GA, USA",None
1041,NASA/Lockheed Martin Aeronautics Company - Marietta &amp; South Cobb High School,,"Austell, GA, USA",None
1042,South Shore Academy &amp; GE Industrial Systems,,"Chicago, IL, USA",None
1043,Cortec Precision Sheetmetal/Best Buy &amp; Kehillah Jewish High School,Batteries Not Included,"San Jose, CA, USA",http://www.kehillahhigh.org/robotics
1045,Manav Enterprises &amp; Mission San Jose High School,MSJ Robotics,"Fremont, CA, USA",http://www.msjrobotics.com
1046,Palm Desert High School Foundation &amp; Palm Desert High School &amp; Desert Sands Unified School District,Aztechs,"Palm Desert, CA, USA",http://prismrobotics.org
1047,Boeing/Raytheon Space and Airborne Systems &amp; Woodbridge High School,Team Echoes,"Irvine, CA, USA",http://www.teamechoes.com/index.php?page=9
1048,National Starch and Chemical Co., Inc/Brother International/ADP Foundation &amp; Manville High School,Mustang Robotics,"Manville, NJ, USA",http://www.manvilleschools.org/manville/High%20School/Robotics%20Team/
1049,St. Michael&#39;s College School,Archangel Robotics,"Toronto, ON, Canada",http://www.archangelrobotics.com/index.php
1051,Academy For Careers and Technology,Technical Terminators,"Marion, SC, USA",None
1052,Kleiner Perkins Caufield &amp; Byers &amp; Pinole Valley High School,,"Pinole, CA, USA",None
1053,ScotiaBank/I.B.M/General Bearing Service/Loucon Metals/SkyWave/Lockheed Martin &amp; Glebe Collegiate High School &amp; O.C.D.S.B.,Gears of Glebe,"Ottawa, ON, Canada",http://www.gleberobotics.com
1054,Starcare Foundation / UVA Career Development Office / Kyanite Mining Corporation / Virginia Farm Bureau / Buckingham Farm Bureau / VA Gateway / Von Holtzbrinck Publishing Services &amp; Buckingham County Public Schools,Knightmares,"Buckingham, VA, USA",http://www.knightmarerobotics.com
1055,Newark-In-One &amp; Francis W. Parker School,Frank&#39;s Garage,"Chicago, IL, USA",http://www.fwpschool.org/FIRST
1056,SRT/ROC/Friends of  Hawaii Robotics/Electronic Learning Center/Thirty Meter Telescope/College of Engineering, University of Hawaii-Manoa/BAE Systems &amp; Waiakea High School,Hot Rocks,"Hilo, HI, USA",None
1057,Thiele Kaolin/Sandersville Railroad/Burgess Pigment/Imerys/J. M. Huber/Sandersville Technical College &amp; Brentwood School,The Blue Knights,"Sandersville, GA, USA",None
1058,Parker Pneutronics/Fleet Ready Corp. &amp; Londonderry High School,PVC Pirates,"Londonderry, NH, USA",http://team1058.com/
1059,EBA&amp;amp;D &amp; Ethel Walker School,,"Simsbury, CT, USA",http://www.ethelwalker.org
1060,River Valley High School,Dust Devils,"Mohave Valley, AZ, USA",None
1062,Disney &amp; Celebration High School,Storm Troopers,"Celebration, FL, USA",http://www.celhs.osceola.k12.fl.us/FIRST/index.html
1063,Toronto District School Board &amp; Marc Garneau C.I.,Team MG,"Toronto, ON, Canada",None
1064,Milwaukee School Of Engineering/IEEE Milwaukee Section/SME Milwaukee Chapter 4/Pentair Water Treatment/Milwaukee FIRST Support Organization &amp; South Milwaukee High School,Wild Beast,"South Milwaukee, WI, USA",http://www.firstwildbeast.com/
1065,Lockheed Martin/Entech Creative/Education Foundation of Osceola County/Walt Disney World Ride and Show Engineering/NuWind &amp; Osceola High School,The Moose,"Kissimmee, FL, USA",http://www.ohs.osceola.k12.fl.us/clubs/robotics/index.html
1067,NASA/The Boeing Company/Troco, L.L.C. &amp; Saint Louis University High School,Junior Billikens,"Saint Louis, MO, USA",http://www.geocities.com/sluhrobotics
1068,DeVRY University/Lockheed Martin &amp; Maynard Evans High School,The Ninjaneers,"Orlando, FL, USA",http://www.team1068.org
1069,NASA/BMW/Michelin &amp; Greer High School,Technobots,"Greer, SC, USA",http://www.technobots.org
1070,Dreamworks Animation skg/California State University, Northridge/Raytheon &amp; Louisville High School,Royal Robotrons,"Woodland Hills, CA, USA",http://www.louisvillehs.org/robotics_website/homepage.html
1071,UTC Sikorsky Aircraft &amp; Wolcott High School,Team Max,"Wolcott, CT, USA",http://www.max1071.com
1072,Harker Foundation/Hitech Metal Fabrication/Col-Mex Precision Sheet Metal &amp; The Harker School,Harker Robotics,"San Jose, CA, USA",http://robotics.harker.org/
1073,BAE SYSTEMS/Technology Garden &amp; Hollis Brookline High School,The Force Team,"Hollis, NH, USA",http://www.theforceteam.com
1075,GM Canada/Marwood Metal fabricators/Ontario Power Generation &amp; Sinclair Secondary School,Sprockets,"Whitby, ON, Canada",http://www.wix.com/thesinclairsprockets/2012
1076,Ann Arbor Pioneer High School,Pi Hi Samurai,"Ann Arbor, MI, USA",None
1077,NASA/Environmental Aeroscience Corporation/Starbot Inc. &amp; STAR Academy,,"Miami, FL, USA",None
1079,Economic Development Corporation of Southwest California/Guidant/Southern California Gas Company/Solid State Stamping/Magnecomp Corporation/Cosworth, Inc./Flashpoint Machine/Crowder Machine and Tool/Chaparral High School Education Foundation &amp; Chaparral High School,Chaparral Robotic Eng And Tech Explorers Murrieta Amazing Grace Inventors Coalit,"Temecula, CA, USA",None
1081,Turner Broadcasting System, Inc./National Society of Black Engineers &amp; North Atlanta High School,Tech Warriors,"Atlanta, GA, USA",None
1082,NASA/Nevada Space Grant Consortium &amp; Sparks High School,Railroaders,"Sparks, NV, USA",http://shsrobot.greatnow.com
1083,Siemens Westinghouse/Walt Disney World/Devry University/Metal Essence, Inc. &amp; Winter Park High School &amp; Evans High School &amp; University High School,Team Emoticons,"Orlando, FL, USA",http://www.team-emoticons.com
1084,Sunoco &amp; St. Clair Secondary School,IronColts,"Sarnia, ON, Canada",None
1086,Powertrain Control Solutions / ShowBest / Pricewaterhouse Coopers LLC / PTC &amp; Deep Run High School,Blue Cheese,"Glen Allen, VA, USA",http://www.bluecheese1086.org/
1087,West Salem High Education Foundation / Hanard Machine Inc / Today&#39;s Hair / Schneider Charitable Foundation / West Salem Rotary / Meyer Memorial Trust &amp; West Salem High School,Titronics Digerati,"Salem, OR, USA",http://west.salkeiz.k12.or.us/contract/robotics/Robotics/index.htm
1088,Toronto District School Board/P S P Steel/My Office/Your Office/Integracon/Firestone Tire and Automotive Centre/Keybase Financial Group/Hart-Well Electrical Company Ltd/Civil Underground &amp; Excavation Co./Metal Air Contractors Ltd./Koch Engineering Co. Ltd./Department of Foreign Affairs and International Trade/Home Hardware Dealers of the Greater Toronto Area/OPTECH INCORPORATED/Rotary Club of Scarborough/TD Waterhouse/International Brotherhood of Electrical Workers LU 353/Highland Creek Communit,Scarborough Warriors At The Top,"West Hill / Toronto, ON, Canada",http://www.swatt1088.com
1089,Credit Suisse / Comcast / Hague Heating &amp; Cooling / J. Rupp Construction / East Windsor Regional School District &amp; Hightstown High School,Team Mercury,"Hightstown, NJ, USA",http://www.mercury1089.com
1090,NASA/Hereford Camera Co LLC/L.E. Mueller Ind./Sunnen Products Co. &amp; Lindbergh High School,,"St Louis, MO, USA",None
1091,GE Volunteers/MSOE (Milwaukee School of Engineering/Mantz Automation &amp; Hartford Union High School,Oriole Assault,"Hartford, WI, USA",http://www.team1091.com
1092,NASA &amp; Campbell High School,The Rabid Rabbits,"Smyrna, GA, USA",http://chsrabidrabbits.tripod.com
1093,CAPTECH VENTURES, INC. &amp; Collegiate School,Cougars,"Richmond, VA, USA",None
1094,The Boeing Company/Bill Davis Inc./Boeing Employees Community Fund/Nidec Motor Corporation/Toyota/DCS Holdings Group, LLC/Ameren Missouri &amp; River City Robots,Channel Cats,"O&#39;fallon, MO, USA",http://channelcats.rivercityrobots.org/
1095,Pittsylvania Co. Schools / First Piedmont Corp. / Mid-Atlantic Broadband Cooperative / Danville-Pittsylvania County Chamber of Commerce / Mecklenberg Electric Co-operative / Chatham Rotary Club &amp; Chatham High School,RoboCavs,"Chatham, VA, USA",None
1096,Virginia Business Education Partnership/Radford Univ &amp; Pulaski County High School,ZULU,"Radford, VA, USA",http://www.radford.edu/~cougars/
1097,Jesuit High School,Site 3 Engineering,"Carmichael, CA, USA",http://robotics.jhs.net
1098,Boeing &amp; Rockwood School District,Rockwood Robotics &quot;Rock-Bots&quot;,"Wildwood, MO, USA",http://www.rockwood.k12.mo.us/robotics
1099,United Technologies Corp (UTC) / PTC &amp; Brookfield High School,DiscoTechs,"Brookfield, CT, USA",http://www.team1099.org
1100,DOW / Boston Scientific &amp; Algonquin Regional High School,The T-Hawks,"Northboro, MA, USA",http://www.team1100.org
1101,University of North Dakota - &amp; Surrey High School -,Mustangs,"Surrey, ND, USA",http://piczo.com/SurreyRoboticsTeam?cr=6&amp;rfm=y
1102,Savannah River Nuclear Solutions/BAE Systems/US Navy/Senator Greg and Betty Ryberg/jcpenney &amp; Aiken County Public Schools,Aiken County Robotics Team M&#39;Aiken Magic,"Aiken, SC, USA",http://www.aikencountyrobotics.org
1103,Thrivent Financial/Haskins Inc/Pentair Water/MPC &amp; Delavan Darien High School,Frankenbots,"Delavan, WI, USA",http://www.frc1103.org
1104,Kansas Space Grant Consortium and Axtell High School/OZ Automation &amp; Axtell High School,TechnoEagles,"Axtell, KS, USA",http://team1104.ozautomation.com/
1105,NASA/USC MESA &amp; Washington Prep HS,The Prep,"Los Angeles, CA, USA",None
1106,North Dakota Space Grant Consortium/NASA &amp; May-Port C.G. High School,patriots,"Mayville, ND, USA",None
1108,City of Paola/Dean Scherman Memorial Fund/The Baehr Foundation/The Roman Foundation &amp; Paola High School,Panther Robotics,"Paola, KS, USA",http://www.pantherrobotics.com
1109,Lively District Secondary School,The RoboHawks,"Lively, ON, Canada",None
1110,Lockheed Martin Aeronautics- Palmdale / Rancho Vista Development Corp / GIMJ Investment Group LLC-Wingstop Franchisees &amp; Highland High School,Binary Bulldogs,"Palmdale, CA, USA",http://hhsrobotics.circuitrunners.com
1111,The Power Hawks Robotics Club, Inc./Government Services Integrated Processing Team/NSA Grant/NASA/Righttime Medical/Anne Arundel County Public Schools/Microsoft/Booz Allen/Daly Computers/Earth Observation Technologies LLC/jcpenney/Koons Ford/Multimed Technical Services, Inc/Chesapeake Regional Tech Council/Hutchison Glass and Mirror/Chevy&#39;s/Commodore Mayo Kiwanis Club/BIT Solutions/McCarter Welding/Wells Fargo Bank/Family Veterinary Clinic/Motorola Solutions/Google &amp; South River High School,The Power Hawks,"Edgewater, MD, USA",http://www.powerhawks.org/
1112,TDSB &amp; Timothy Eaton BTI,Huskies,"Toronto, ON, Canada",None
1113,Temple Engineering &amp; High School of Engineering and Science,Urban Assault,"Philadelphia, PA, USA",None
1114,Innovation First International/General Motors St. Catharines Powertrain &amp; Governor Simcoe Secondary School,Simbotics,"St. Catharines, ON, Canada",http://www.simbotics.org
1115,NASA &amp; Santa Monica High School,Deus Ex Machina,"Santa Monica, CA, USA",None
1116,NASA &amp; Valley Alternative Schools,,"La Puente, CA, USA",None
1118,NASA/Kimberly-Clark Corp/University of Tennessee Knoxville/Phelps Engineering Company Inc. &amp; South-Doyle High,NERDS INC.,"Knoxville, TN, USA",http://www.s-dhs.org
1120,FLEXTRONICS/NXP/City of Milpitas &amp; Milpitas High School,Milpitas Xtreme Robotics,"Milpitas, CA, USA",None
1122,NASA Glenn Research Center/GE Consumer Products-Lighting/RTA &amp; Collinwood Computech Senior High School,Railbots,"Cleveland, OH, USA",None
1123,General Dynamics / Booz Allen Hamilton / Lockheed Martin IS&amp;amp;GS Defense / SRA International / Shirley Contracting &amp; Autodidactic Intelligent Minors, Inc.,AIM Robotics,"Burke, VA, USA",http://www.aim-robotics.org
1124,UTC Fire and Security &amp; Avon High School,ÜberBots,"Avon, CT, USA",http://www.uberbots.org
1125,Northrop-Grumman &amp; Rancho Bernardo High School,Broncos,"San Diego, CA, USA",http://powayusd.sdcoe.k12.ca.us/pusdrbhs/
1126,Xerox Corporation &amp; Webster High Schools,SPARX,"Webster, NY, USA",http://www.gosparx.org
1127,WIT / MB&amp;amp;R Engineering &amp; Milton High School,Lotus Robotics,"Milton, GA, USA",None
1129,CAE Inc &amp; Rosemount Technology  Centre,,"Montreal, QC, Canada",http://www.geocities.com/rtcrobotproject/index.html
1130,Boeing/Albany Schools Foundation/Ashbrooke Independent School &amp; South Albany High School,Phantoms,"Albany, OR, USA",None
1131,NASA/Mack Truck/Washington County Public Schools &amp; Washington County Technical High School,Robo-Techs,"Hagerstown, MD, USA",http://www.team1131.com
1132,Fredericksburg Academy &amp; RAPTAR,R.A.P.T.A.R. (Robotics Adventure Professionals of Tidewater and Richmond),"Ashland, VA, USA",http://www.raptar.net
1133,NASA/Nevada Space Grant Consortium/University of Nevada, Reno &amp; Procter Hug High School,The Hug A Bots,"Reno, NV, USA",None
1135,Raytheon/Brenner-Fiedler Pneumatics/Boeing/Shining Technology/Cardinal Pacific Escrow/JAGZ &amp; Whitney High School,WHS Schmoebotics,"Cerritos, CA, USA",http://home.earthlink.net/~whsrobotics/
1136,NASA/Navair &amp; Mt. Miguel High School,Nutty Genius&#39;s,"Spring Valley, CA, USA",http://mt.miguelrobotics.8m.com
1137,Mathews Boys &amp; Girls Club &amp; Mathews High School,Rocket Sauce,"Mathews, VA, USA",http://mhcal.mathews.k12.va.us/SB057/robotics/index.html
1138,Xerox Corporation / The Boeing Company / Aerojet Rocketdyne / Jostens / JRM Enterprises / McConnell, Montalvo&amp; Assoc. Inc. / Accurate Engineering Services / Snap! Productions / Frazier Aviation &amp; Chaminade College Preparatory,Eagle Engineering,"West Hills, CA, USA",http://team1138robotics.com
1139,Chamblee High School,The Chamblee Gear Grinders,"Chamblee, GA, USA",None
1140,Holly High School,MAGNADON,"Holly, MI, USA",http://hollyareaschools.com/hhs/academics/robotics/index.html
1141,G.E. Volunteers &amp; Thomas A. Stewart High School,TAS Megawatts,"Peterborough, ON, Canada",http://www.tasrobotics.com
1142,NASA &amp; Mainland High School,,"Daytona Beach, FL, USA",None
1143,Lockheed Martin/One Point Inc./Abington Education Improvement Organization &amp; Abington Heights High School,Cruzin&#39; Comets,"Clarks Summit, PA, USA",http://www.cruzincomets.com
1144,Ethicon LLC &amp; Vocacional Antonio Fernos Isern &amp; Baptist Private High School Caguas &amp; Vocacional Republica de Costa Rica &amp; Puerto Rico Christian School &amp; Petra Mercado &amp; José Campeche High School &amp; Vocacional Antonio Fernos Isern &amp; St. Mary&#39;s High School &amp; Luis Muñoz Rivera High School Utuado &amp; Jose Gautiier Benitez High School &amp; Vocacional Antonio Fernos Isern High School &amp; A.C.I.S. High School &amp; San Jose Private High School &amp; Notre Dame High School &amp; José Campeche High School,Coquitron,"San Lorenzo, PR, USA",http://www.coquitron.com
1146,Newfoundland &amp; Labrador Hydro/IOC/Hodge Brothers/Wabush Mines/P&amp;amp;H/Town Wabush/Lab Glass &amp; Alumium/Saan/Mother Woods/Scotia Bank/Fitz&#39;s Enterprizes/CWD/Office Works/Budget/CIBC/HJ O&#39;Connell/Carol Auto/Town of Lab City &amp; Menihek  High School,Magic,"Labrador City, NL, Canada",http://www.menihekhigh.k12.nf.ca
1147,BAE Systems/Optimist Club/thermogenesis &amp; Elk Grove High School,The Herdinators,"Elk Grove, CA, USA",http://www.freewebs.com/eghsrobotics/
1148,Harvard-Westlake School,Wafflebots,"Studio City, CA, USA",http://www.hw.com
1149,NASA &amp; Thousand Oaks High School,,"Thousand Oaks, CA, USA",None
1150,NASA/Dr. C/Microchip Technology Inc./DeVry Institute-Phoenix &amp; PACE Preparatory Academy,,"Camp Verde, AZ, USA",None
1151,Contra Costa College/NASA/The Ed Fund/Tap Plastics/Honda of El Cerrito/TCI Aluminum North &amp; Middle College High School,The Hitchhikers,"San Pablo, CA, USA",http://www.contracosta.edu/mchs/robotics/
1152,Olin College &amp; Community Academy of Science and Health &amp; The Engineering School &amp; Social Justice Academy,Blue Stars,"Hyde Park, MA, USA",None
1153,RiverTaw &amp; Walpole High School,Robo-Rebels,"Walpole, MA, USA",http://www.walpolerobotics.org/
1154,Virginia Business Education Partnership/James Madison University College of Integrated Science and Technology &amp; Harrisonburg High School,Harrisonburg High School Blue Streaks,"Harrisonburburg, VA, USA",None
1155,The Alumni Association of The Bronx High School of Science/Bloomberg/ConEdison/Credit Suisse/Maspeth Press &amp; The Bronx High School of Science,SciBorgs,"Bronx, NY, USA",http://bxsciborgs.com/
1156,Konrad Caminhoes/Transduarte Transportes/Novo Hamburgo City Hall/Hetch Tech/Pavicon/Termaco &amp; Marista Pio XII High School,Under Control,"Novo Hamburgo, RS, Brazil",http://www.undercontrol1156.com.br
1157,Jim and Dede Bartlett Foundation / Comcast / Ball Aerospace &amp; Boulder High School,Landsharks,"Boulder, CO, USA",http://www.landsharkrobotics.org
1158,EnCana Oil &amp; Gas / US Forest Service / Grimsley&#39;s / Collbran Job Corps Grand Mesa / Grand Junction Chrysler Jeep Dodge &amp; Collbran Job Corps Grand Mesa High School,The Corps,"Collbran, CO, USA",http://www.eaglecorps.me
1159,Boeing/Galvanix/Office of Senator Gil Cedillo/Northrop Grumman/California Institute of Technology/Macy&#39;s Foundation &amp; Ramona Convent Secondary School,Ramona Rampage,"Alhambra, CA, USA",http://ramonarampage1159.com/
1160,The Boeing Company/NASA-JPL/SMHS PTSA &amp; San Marino High School,Titanium,"San Marino, CA, USA",http://www.team1160.com/
1161,Machine Science/Nypro Inc &amp; Tech Boston  Academy,,"Brighton, MA, USA",None
1162,NASA White Sands Test Facility &amp; Canutillo High / NMSU,,"Canutillo, TX, USA",None
1163,Johnson Controls/SDSGC &amp; Faulkton Area HS,Trojan Horses,"Faulkton, SD, USA",http://nhm7792.k12.sd.us/
1164,NASA/Las Cruces Public Schools &amp; Las Cruces Public Schools,Project NEO,"Las Cruces, NM, USA",http://www.projectneo.net
1165,Bechtel &amp; Paradise Valley High School,Team Paradise,"Phoenix, AZ, USA",http://sites.google.com/a/pvlearners.net/team-paradise/
1166,NASA/JCB Inc./US Army Corp of Engineers/Savannah Tech &amp; Groves High School,Highlander Robotics,"Garden City, GA, USA",http://www.savannah.chatham.k12.ga.us/groves/HighLander%20Index.htm
1167,NASA/Armstrong Atlantic State University/Armstrong &amp; Windsor Forest High School,Knightmares,"Savannah, GA, USA",http://www.savannah.chatham.k12.ga.us/schools/wfhs/index.html
1168,CTDI &amp; Malvern Preparatory School &amp; Villa Maria Academy,Malvern Robotics,"Malvern, PA, USA",http://www.friarbot.com
1169,University of Alaska-Fairbanks/INRA/NASA/British Petroleum/Goldstream Lions/Met-Life/Gene&#39;s Crysler &amp; West Valley High School &amp; Lathrop High School,Fairbanks Robarctics,"Fairbanks, AK, USA",http://www.geocities.com/kahoe1/indexdark.html
1172,SMC Corporation &amp; Richmond Technical Center,We Tek Too,"Richmond, VA, USA",None
1177,Stephenson High School,MECHA-JAGS,"Stone Mountain, GA, USA",http://www.mechajagrobotics.org
1178,The Boeing Company/Exospace Design LLC/Neff Power &amp; DeSmet Jesuit High School,DuRT  (De Smet united Robotics Team),"St. Louis, MO, USA",http://frcteam1178.webs.com
1180,Gulfstream Aerospace Corporation/Motion Industries &amp; Sol C Johnson High School,Atomsmashers,"Thunderbolt, GA, USA",http://www.smashers.org/PostNuke-0.750/html/index.php
1181,Intesys &amp; Mesquite High School,,"Gilbert, AZ, USA",None
1182,The Boeing Company / Heat Transfer Systems / Savvis Inc. / Electronic Support Systems / Rockwell Automation / Bendler Boiler / Dobbs Tire and Auto Centers &amp; Parkway South High School,Patriots,"Manchester, MO, USA",None
1183,Collins Hill High School,Team Ascari,"Suwanee, GA, USA",None
1184,DeWALT/JE JACOBS/Army Research Laboratory &amp; Harford Technical High School,Cobra Robotics,"Bel Air, MD, USA",None
1185,Schenley High School,The X-Bots,"Pittsburgh, PA, USA",http://www.rec.ri.cmu.edu/education/xbots/index.html
1187,Mercedes Benz/NJIT &amp; Newark Public Shcools  &amp; University High School,Brick City Flame,"Newark, NJ, USA",http://www.geocities.com/firebird_1187
1188,Hitachi Automotive/Royal Oak Schools/OUR Credit Union/Kohl&#39;s &amp; Royal Oak High School,Oaktown Crewz,"Royal Oak, MI, USA",http://www.team1188.org
1189,GM &amp; Grosse Pointe Public Schools,The Gearheads,"Grosse Pointe, MI, USA",http://gpgearheads.org
1190,Overland High School,ANONOBOTS,"Aurora, CO, USA",http://www.anonobots-1190.com
1191,Keystone Oaks High School,Eagles,"Pittsburgh, PA, USA",http://www.kosd.org/FIRST
1192,NASA/Michigan Technological University &amp; Conserve School,,"Land O Lakes, WI, USA",None
1195,United States Navy / Northrop Grumman / National Society of Black Engineers / The Custom District &amp; Patriots Technology Training Center &amp; Central High School,Newest Evolution of Robotics Dominance Squad,"Seat Pleasant, MD, USA",http://www.patriots-ttc.org
1197,Sleepy Hollow Chocolate Team / Northrop Grumman / The Boeing Company / Raytheon / Moog Aircraft Group / Intuitive Surgical / ExxonMobil / Torrance Education Foundation / Walteria Men&#39;s Club &amp; South High School,TorBots,"Torrance, CA, USA",http://www.torbots.com
1199,Educational Robot Company &amp; North Hills Senior High School,,"Pittsburgh, PA, USA",None
1200,Central Westmoreland CTC,,"New Stanton, PA, USA",None
1201,NASA Stennis Space Center/Southern Tooling and Machine Works &amp; Monroe County Vocational Center,CSI:Monroe,"Aberdeen, MS, USA",http://www.csimonroe.com/
1202,CTC Foundation &amp; Forest Hills High School,,"Sidman, PA, USA",None
1203,West Babylon School District,PANDEMONIUM,"West Babylon, NY, USA",http://shswbschools.sharpschool.com/staff_directory/technology_education/mr__de_Simone/robotics/
1204,NASA &amp; St. Edward High School,Eagles,"Lakewood, OH, USA",None
1205,AEP/FIRST Robotics/ARC Specialties/Houston Robotics/ESAB Cutting and Welding/Tymetal &amp; Bruni High School Robotics,Badgerbots,"Bruni, TX, USA",http://classroom.webb.esc1.net/webs/bhs/bhs_robotics.htm
1206,NASA/Battelle Memorial Institute &amp; Fairview High School,Wrench Warriors,"Fairview Park, OH, USA",http://www.wrenchwarriors.cjb.net
1208,The Boeing Company/Lockheed/SAIC &amp; O&#39;Fallon High School,Metool Brigade,"O&#39;Fallon, IL, USA",http://www.othsrobotics.com/
1209,The Boeing Company/University of Tulsa/Omni Air International/AEP/Booker T. Washington Foundation for Academic Excellence/Gardner Springs &amp; Booker T. Washington High School,Robo Hornets,"Tulsa, OK, USA",None
1210,Optimist International/St. Louis Junior Academy of Science &quot;Science Center&quot; &amp; Normandy Senior High,Nyack,"St Louis, MO, USA",http://www.jracademy.com/~nyack/NYACKhomepage.html
1211,Rajswasser-Flaherty Family/Bezo Family Foundation &amp; Automotive High School  YABC &amp; Friends of Automotive High School,Robotnics,"Brooklyn, NY, USA",http://www.shof515.com/autohs/
1212,The Boeing Company/Modern Industries &amp; Seton Catholic,Sentinels,"Chandler, AZ, USA",http://1212robotics.com
1213,US ARMY TARDEC/NPCrobotics.com &amp; Birmingham Groves,GROVES,"Beverly  Hills, MI, USA",None
1214,ASME &amp; Westbriar Middle School,The Grizzlies,"Houston, TX, USA",None
1215,NASA/East Central Machine Tool Consortium &amp; Four Rivers Career Center,Machine Tool,"Washington, MO, USA",http://&#39;www.fourrivers@washington.k12.mo.us
1216,i3 Detroit / BAE Systems &amp; Oak Park High School,Knights,"Oak Park, MI, USA",http://www.team1216.com
1218,Vulcan Spring/Metal Edge International/Paletti USA/Boeing Company/Urban Engineers/Chill on the Hill/Robertsons Flowers/State Farm Insurance/ErvTech International &amp; Springside Chestnut Hill Academy,Vulcan Robotics,"Philadelphia, PA, USA",http://www.Team1218.org
1219,Toronto District School Board &amp; Emery Collegiate Institute,Iron Eagles,"Toronto, ON, Canada",http://ironeagles.net/
1220,Rockwell Automation/Marquette University &amp; Marquette University High School,,"Milwaukee, WI, USA",None
1221,Synnex Canada Ltd. &amp; St. Martin&#39;s Secondary School,Nerdbotics,"Mississauga, ON, Canada",None
1222,AMF Automation Technologies &amp; Huguenot High School,Falcons,"Richmond, VA, USA",http://www.falconbot.com
1223,East Valley Institute of Technology,Twisted Dimension,"Mesa, AZ, USA",None
1224,Credit Suisse /MTA/Verizon &amp; St. Pius V High School,Team 1224 - The Pius Princesses,"Bronx, NY, USA",None
1225,BorgWarner Turbo Systems/Henderson County Public Schools Robotics Team &amp; Henderson County Public Schools,Gorillas,"Hendersonville, NC, USA",http://www.hcbots.com
1226,Weldon E. Howitt Middle School,,"Farmingdale, NY, USA",None
1227,ITT Technical Institute/Smiths Areospace &amp; Forest Hills Public Schools &amp; Northview Public Schools,Techno-Gremlins,"Grand Rapids, MI, USA",http://www.techno-gremlins.org
1228,NASA / Infineum / A&amp;amp;M Industrial Supply &amp; Rahway High School,RoboTribe,"Rahway, NJ, USA",http://www.team1228us.wix.com/robotribe
1229,Anemia Institute for Research and Education/University of Windsor Faculty of Science/University of Windsor Faculty of Engineering/Centerline (Windsor) Ltd./Synexus Design Group Inc./Accucaps Industries Ltd./Moir KMJ Machinery Movers &amp; Vincent Massey Secondary School Parent Council &amp; Vincent Massey Secondary School Student Council,MASA,"Windsor, ON, Canada",http://www.MasseyFirst.com
1230,Popular Mechanics/Pershing Square Foundation/Con Edison &amp; Herbert H. Lehman High School,The Lehman Lionics,"Bronx, NY, USA",http://firstlion1230.weebly.com/
1232,Stratford Central S.S.,RAMS ROBOTICS,"Stratford, ON, Canada",http://www.ramsrobotics.com
1235,NASA Stennis Space Center &amp; Mississippi School for Mathematics and Science,Maximum Strength,"Columbus, MS, USA",None
1236,Galileo Magnet High School,Phoenix Rising,"Danville, VA, USA",http://web.dps.k12.va.us/galileo
